lat,lon,velocity_mm_yr,region,infrastruktur_naehe
51.344920,6.858266,4.5,Ruhrgebiet-West,
51.346423,6.942061,3.5,Ruhrgebiet-West,
51.347349,6.873088,-5.1,Ruhrgebiet-West,
51.349457,6.992477,-7.8,Ruhrgebiet-West,
51.345847,6.716915,-4.5,Ruhrgebiet-West,
51.348093,6.835141,3.4,Ruhrgebiet-West,
51.347649,6.773122,-6.5,Ruhrgebiet-West,
51.352160,7.024530,-5.9,Ruhrgebiet-West,
51.352736,7.058975,-3.8,Ruhrgebiet-West,
51.352755,7.060123,-11.7,Ruhrgebiet-West,
51.352831,7.064715,-19.7,Ruhrgebiet-West,
51.353474,7.060092,-3.9,Ruhrgebiet-West,
51.353531,7.063537,-16.8,Ruhrgebiet-West,
51.353550,7.064685,-23.9,Ruhrgebiet-West,
51.348003,6.716808,-5.7,Ruhrgebiet-West,
51.350164,6.830447,-3.4,Ruhrgebiet-West,
51.359111,7.187407,-6.4,Ruhrgebiet-West,
51.357057,7.016276,-4.1,Ruhrgebiet-West,
51.359110,7.141442,-9.9,Ruhrgebiet-West,
51.354495,6.717634,3.2,Ruhrgebiet-West,
51.360701,7.062085,-3.3,Ruhrgebiet-West,
51.360378,7.000044,-5.7,Ruhrgebiet-West,
51.361382,7.059758,-3.4,Ruhrgebiet-West,
51.361331,7.013793,-3.3,Ruhrgebiet-West,
51.357168,6.707159,3.2,Ruhrgebiet-West,
51.357191,6.708307,3.6,Ruhrgebiet-West,
51.358649,6.784080,3.1,Ruhrgebiet-West,
51.360393,6.878230,-14.3,Ruhrgebiet-West,
51.359584,6.757603,-8.3,Ruhrgebiet-West,
51.361810,6.877015,-3.4,Ruhrgebiet-West,
51.359347,6.708200,3.2,Ruhrgebiet-West,
51.362997,6.863169,-4.5,Ruhrgebiet-West,
51.364871,6.927443,-3.3,Ruhrgebiet-West,
51.369424,7.203091,-14.2,Ruhrgebiet-West,
51.365590,6.927410,-6.7,Ruhrgebiet-West,
51.365132,6.861920,16.8,Ruhrgebiet-West,
51.369583,7.121478,-4.5,Ruhrgebiet-West,
51.367153,6.894008,-7.0,Ruhrgebiet-West,
51.372388,7.208722,4.8,Ruhrgebiet-West,
51.367477,6.872156,-7.7,Ruhrgebiet-West,
51.368693,6.899685,-5.0,Ruhrgebiet-West,
51.366692,6.715878,6.4,Ruhrgebiet-West,
51.369274,6.813452,4.2,Ruhrgebiet-West,
51.370457,6.877765,11.0,Ruhrgebiet-West,
51.370757,6.854762,-3.1,Ruhrgebiet-West,
51.371009,6.868543,-3.1,Ruhrgebiet-West,
51.377929,7.194710,-33.3,Ruhrgebiet-West,
51.371848,6.759303,4.2,Ruhrgebiet-West,
51.380514,7.130228,-3.6,Ruhrgebiet-West,
51.381897,7.126723,-3.1,Ruhrgebiet-West,
51.375741,6.737270,-3.8,Ruhrgebiet-West,
51.375763,6.738419,-3.4,Ruhrgebiet-West,
51.377685,6.801555,-12.6,Ruhrgebiet-West,
51.383021,7.107132,-3.2,Ruhrgebiet-West,
51.378403,6.801520,-12.4,Ruhrgebiet-West,
51.378798,6.784256,-8.4,Ruhrgebiet-West,
51.386829,7.165615,-9.6,Ruhrgebiet-West,
51.387311,7.196641,-6.7,Ruhrgebiet-West,
51.382148,6.809389,-3.7,Ruhrgebiet-West,
51.387813,6.804519,3.7,Ruhrgebiet-West,
51.388255,6.714804,6.0,Ruhrgebiet-West,
51.392914,6.967575,-3.1,Ruhrgebiet-West,
51.388952,6.713620,3.2,Ruhrgebiet-West,
51.389983,6.729668,-3.5,Ruhrgebiet-West,
51.394212,6.959468,-11.1,Ruhrgebiet-West,
51.394431,6.972108,3.2,Ruhrgebiet-West,
51.397345,7.103090,-4.0,Ruhrgebiet-West,
51.399333,7.092656,3.3,Ruhrgebiet-West,
51.395237,6.816814,-3.5,Ruhrgebiet-West,
51.398203,6.940888,-8.8,Ruhrgebiet-West,
51.402872,7.002791,-8.7,Ruhrgebiet-West,
51.402233,6.924604,3.3,Ruhrgebiet-West,
51.406523,7.092357,4.7,Ruhrgebiet-West,
51.405006,6.918726,-7.2,Ruhrgebiet-West,
51.407792,7.081951,-3.3,Ruhrgebiet-West,
51.406505,6.922109,-7.1,Ruhrgebiet-West,
51.407351,6.970386,-10.7,Ruhrgebiet-West,
51.407590,6.984180,3.3,Ruhrgebiet-West,
51.406112,6.708162,-3.1,Ruhrgebiet-West,
51.414633,7.195566,-3.6,Ruhrgebiet-West,
51.411465,6.958699,3.1,Ruhrgebiet-West,
51.412569,7.023077,-3.6,Ruhrgebiet-West,
51.411517,6.920732,-3.8,Ruhrgebiet-West,
51.413152,7.014999,-4.2,Ruhrgebiet-West,
51.412215,6.919549,-3.1,Ruhrgebiet-West,
51.413042,6.845879,3.6,Ruhrgebiet-West,
51.413400,6.865421,3.9,Ruhrgebiet-West,
51.414311,6.916003,-5.2,Ruhrgebiet-West,
51.414979,6.953941,3.8,Ruhrgebiet-West,
51.412643,6.748104,-3.5,Ruhrgebiet-West,
51.413339,6.746919,-3.7,Ruhrgebiet-West,
51.417950,7.000983,9.4,Ruhrgebiet-West,
51.418973,7.061922,-5.4,Ruhrgebiet-West,
51.414058,6.746884,-5.6,Ruhrgebiet-West,
51.414080,6.748033,-4.0,Ruhrgebiet-West,
51.421663,7.184933,-3.8,Ruhrgebiet-West,
51.415452,6.744514,-3.1,Ruhrgebiet-West,
51.422452,7.143476,-4.0,Ruhrgebiet-West,
51.424086,7.202098,-3.2,Ruhrgebiet-West,
51.418793,6.845609,-5.3,Ruhrgebiet-West,
51.418556,6.719046,-3.9,Ruhrgebiet-West,
51.423779,6.922477,4.8,Ruhrgebiet-West,
51.422449,6.771788,-4.8,Ruhrgebiet-West,
51.430160,7.130504,-5.3,Ruhrgebiet-West,
51.431099,7.190313,-7.9,Ruhrgebiet-West,
51.424627,6.772833,-3.9,Ruhrgebiet-West,
51.426275,6.822240,-3.1,Ruhrgebiet-West,
51.427471,6.733564,-3.1,Ruhrgebiet-West,
51.430101,6.720773,-6.4,Ruhrgebiet-West,
51.440096,7.122040,-3.3,Ruhrgebiet-West,
51.433291,6.699896,-9.4,Ruhrgebiet-West,
51.434792,6.740108,-3.1,Ruhrgebiet-West,
51.435807,6.718187,7.7,Ruhrgebiet-West,
51.437347,6.798690,9.1,Ruhrgebiet-West,
51.439410,6.911407,-8.9,Ruhrgebiet-West,
51.437800,6.746867,-6.1,Ruhrgebiet-West,
51.445552,7.103395,4.0,Ruhrgebiet-West,
51.447830,7.202316,-3.2,Ruhrgebiet-West,
51.446430,6.983621,-9.0,Ruhrgebiet-West,
51.450688,7.201053,-11.0,Ruhrgebiet-West,
51.450706,7.202203,-11.0,Ruhrgebiet-West,
51.451337,7.196422,4.4,Ruhrgebiet-West,
51.445448,6.808663,5.3,Ruhrgebiet-West,
51.445469,6.809813,7.0,Ruhrgebiet-West,
51.445581,6.777570,-3.3,Ruhrgebiet-West,
51.446359,6.818981,-10.8,Ruhrgebiet-West,
51.447078,6.818947,-3.7,Ruhrgebiet-West,
51.449365,6.945495,-3.8,Ruhrgebiet-West,
51.453155,7.174472,-7.4,Ruhrgebiet-West,
51.448387,6.811976,-10.0,Ruhrgebiet-West,
51.450621,6.935075,-4.5,Ruhrgebiet-West,
51.453539,7.063913,-3.4,Ruhrgebiet-West,
51.452361,6.952269,-3.6,Ruhrgebiet-West,
51.452382,6.953420,-6.3,Ruhrgebiet-West,
51.454958,7.062702,-3.7,Ruhrgebiet-West,
51.451284,6.812989,-15.9,Ruhrgebiet-West,
51.451306,6.814140,-10.9,Ruhrgebiet-West,
51.451327,6.815290,-11.4,Ruhrgebiet-West,
51.453150,6.915386,8.7,Ruhrgebiet-West,
51.453819,6.953356,-3.5,Ruhrgebiet-West,
51.346988,7.745041,8.2,Ruhrgebiet-Ost,
51.348125,7.653108,4.8,Ruhrgebiet-Ost,
51.350621,7.748388,4.5,Ruhrgebiet-Ost,
51.350816,7.636945,-4.8,Ruhrgebiet-Ost,
51.351589,7.641517,-5.3,Ruhrgebiet-Ost,
51.356926,7.873456,-7.7,Ruhrgebiet-Ost,
51.357069,7.888389,-6.5,Ruhrgebiet-Ost,
51.357853,7.895264,-6.9,Ruhrgebiet-Ost,
51.359073,7.872254,-9.2,Ruhrgebiet-Ost,
51.359394,7.695292,14.1,Ruhrgebiet-Ost,
51.360164,7.699867,-5.9,Ruhrgebiet-Ost,
51.362244,7.903202,-3.7,Ruhrgebiet-Ost,
51.362908,7.753799,3.3,Ruhrgebiet-Ost,
51.373225,7.923629,-5.3,Ruhrgebiet-Ost,
51.375111,8.059217,-9.4,Ruhrgebiet-Ost,
51.378925,7.771757,9.8,Ruhrgebiet-Ost,
51.379841,7.862547,-3.9,Ruhrgebiet-Ost,
51.379474,7.755648,3.9,Ruhrgebiet-Ost,
51.381280,7.862512,-3.3,Ruhrgebiet-Ost,
51.381943,7.856747,3.2,Ruhrgebiet-Ost,
51.381954,7.857897,-4.0,Ruhrgebiet-Ost,
51.381965,7.859046,3.8,Ruhrgebiet-Ost,
51.382673,7.857879,-8.6,Ruhrgebiet-Ost,
51.382785,7.869372,-3.8,Ruhrgebiet-Ost,
51.383504,7.869355,-6.3,Ruhrgebiet-Ost,
51.383515,7.870504,-3.2,Ruhrgebiet-Ost,
51.383537,7.872803,-3.8,Ruhrgebiet-Ost,
51.384223,7.869337,4.7,Ruhrgebiet-Ost,
51.384234,7.870486,6.8,Ruhrgebiet-Ost,
51.384268,7.873934,-3.3,Ruhrgebiet-Ost,
51.384987,7.873917,-6.5,Ruhrgebiet-Ost,
51.385108,7.886560,17.6,Ruhrgebiet-Ost,
51.384187,7.725629,-4.0,Ruhrgebiet-Ost,
51.386258,7.856640,-3.1,Ruhrgebiet-Ost,
51.387523,7.994577,4.1,Ruhrgebiet-Ost,
51.387265,7.886508,3.7,Ruhrgebiet-Ost,
51.387685,7.855454,-5.2,Ruhrgebiet-Ost,
51.389394,8.046277,-4.1,Ruhrgebiet-Ost,
51.387458,7.762330,3.2,Ruhrgebiet-Ost,
51.388583,7.873828,-4.8,Ruhrgebiet-Ost,
51.389400,7.962342,-3.5,Ruhrgebiet-Ost,
51.389410,7.963492,-5.3,Ruhrgebiet-Ost,
51.390353,8.076152,-3.1,Ruhrgebiet-Ost,
51.386720,7.631279,-3.2,Ruhrgebiet-Ost,
51.387733,7.720931,-9.2,Ruhrgebiet-Ost,
51.390828,7.961160,-7.4,Ruhrgebiet-Ost,
51.391548,7.961144,-6.6,Ruhrgebiet-Ost,
51.389380,7.674893,-5.2,Ruhrgebiet-Ost,
51.390371,7.765701,3.7,Ruhrgebiet-Ost,
51.392257,7.959978,-4.0,Ruhrgebiet-Ost,
51.392012,7.856496,-5.6,Ruhrgebiet-Ost,
51.392023,7.857646,-3.5,Ruhrgebiet-Ost,
51.392976,7.959962,-8.5,Ruhrgebiet-Ost,
51.392180,7.801298,-3.4,Ruhrgebiet-Ost,
51.393695,7.959945,3.1,Ruhrgebiet-Ost,
51.393705,7.961095,-4.8,Ruhrgebiet-Ost,
51.394084,8.004783,-4.5,Ruhrgebiet-Ost,
51.391922,7.709316,-3.9,Ruhrgebiet-Ost,
51.392899,7.801280,-5.6,Ruhrgebiet-Ost,
51.393297,7.703528,-3.9,Ruhrgebiet-Ost,
51.394290,7.796644,-5.6,Ruhrgebiet-Ost,
51.394314,7.798943,-3.2,Ruhrgebiet-Ost,
51.395011,7.869071,-8.2,Ruhrgebiet-Ost,
51.394029,7.704657,-3.1,Ruhrgebiet-Ost,
51.395731,7.869053,-10.6,Ruhrgebiet-Ost,
51.396450,7.869035,-12.1,Ruhrgebiet-Ost,
51.396461,7.870185,-6.9,Ruhrgebiet-Ost,
51.397797,8.018502,-6.8,Ruhrgebiet-Ost,
51.397180,7.870167,-3.3,Ruhrgebiet-Ost,
51.398507,8.017337,-3.7,Ruhrgebiet-Ost,
51.398516,8.018487,-5.8,Ruhrgebiet-Ost,
51.397527,7.832209,-11.1,Ruhrgebiet-Ost,
51.397539,7.833358,-8.5,Ruhrgebiet-Ost,
51.398247,7.832190,-4.7,Ruhrgebiet-Ost,
51.398258,7.833340,-5.2,Ruhrgebiet-Ost,
51.400003,8.024205,4.4,Ruhrgebiet-Ost,
51.399012,7.836771,-4.3,Ruhrgebiet-Ost,
51.399601,7.897709,-3.6,Ruhrgebiet-Ost,
51.398495,7.718331,-3.7,Ruhrgebiet-Ost,
51.400363,7.902291,-3.3,Ruhrgebiet-Ost,
51.401109,7.985079,-4.3,Ruhrgebiet-Ost,
51.401119,7.986229,-6.7,Ruhrgebiet-Ost,
51.401129,7.987379,-3.8,Ruhrgebiet-Ost,
51.399063,7.704515,-4.5,Ruhrgebiet-Ost,
51.400386,7.694126,5.7,Ruhrgebiet-Ost,
51.403277,7.986181,-7.2,Ruhrgebiet-Ost,
51.401067,7.690657,-3.8,Ruhrgebiet-Ost,
51.403653,7.870008,-6.1,Ruhrgebiet-Ost,
51.404995,7.788311,6.3,Ruhrgebiet-Ost,
51.406823,7.980351,-3.3,Ruhrgebiet-Ost,
51.406843,7.982651,-8.4,Ruhrgebiet-Ost,
51.407582,7.984936,3.4,Ruhrgebiet-Ost,
51.409001,7.982604,-18.8,Ruhrgebiet-Ost,
51.409700,7.980287,-3.6,Ruhrgebiet-Ost,
51.409720,7.982588,-6.6,Ruhrgebiet-Ost,
51.409046,7.833066,-3.1,Ruhrgebiet-Ost,
51.410309,7.967621,-15.3,Ruhrgebiet-Ost,
51.410429,7.981422,-6.1,Ruhrgebiet-Ost,
51.411018,7.966454,-5.3,Ruhrgebiet-Ost,
51.411139,7.980255,-3.3,Ruhrgebiet-Ost,
51.409407,7.602994,-5.3,Ruhrgebiet-Ost,
51.412803,7.925000,-4.8,Ruhrgebiet-Ost,
51.413306,7.691457,-4.2,Ruhrgebiet-Ost,
51.413472,7.706408,-5.1,Ruhrgebiet-Ost,
